"ransom_group","file_name","file_link"
"Nullbulge","[rand].README.txt","https://www.ransomware.live/ransomnote/nullbulge/%5Brand%5D.README.txt"
"Obscura","README_Obscura.txt","https://www.ransomware.live/ransomnote/Obscura/README_Obscura.txt"
"Phobos","phobos.txt","https://www.ransomware.live/ransomnote/phobos/phobos.txt"
"Play","play.txt","https://www.ransomware.live/ransomnote/play/play.txt"
"Prolock","[HOW TO RECOVER FILES].TXT","https://www.ransomware.live/ransomnote/prolock/%5BHOW%20TO%20RECOVER%20FILES%5D.TXT"
"Prometheus","prometheus.txt","https://www.ransomware.live/ransomnote/prometheus/prometheus.txt"
"Punisher","README.txt","https://www.ransomware.live/ransomnote/punisher/README.txt"
"Qilin","DtMXQFOCos-RECOVER-README.txt","https://www.ransomware.live/ransomnote/qilin/DtMXQFOCos-RECOVER-README.txt"
"Qlocker","!!!READ_ME.txt","https://www.ransomware.live/ransomnote/qlocker/!!!READ_ME.txt"
"Quantumlocker","quantumlocker.html","https://www.ransomware.live/ransomnote/quantumlocker/quantumlocker.html"
"Quicklock","READ_ME_FILE_RECOVERY_mvv.txt","https://www.ransomware.live/ransomnote/quicklock/READ_ME_FILE_RECOVERY_mvv.txt"
"Ragnarlocker","!_^_README_NOTES_RAGNAR_^_!.txt","https://www.ransomware.live/ransomnote/ragnarlocker/!_%5E_README_NOTES_RAGNAR_%5E_!.txt"
"Ragnarok","ragnarok.html","https://www.ransomware.live/ransomnote/ragnarok/ragnarok.html"
"Ralord","README-XeBY311RpMRQ.txt","https://www.ransomware.live/ransomnote/ralord/README-XeBY311RpMRQ.txt"
"Rancoz","HOW_TO_RECOVERY_FILES.txt","https://www.ransomware.live/ransomnote/rancoz/HOW_TO_RECOVERY_FILES.txt"
"Ransomexx","!_WHATS_HAPPENED_!.txt","https://www.ransomware.live/ransomnote/ransomexx/!_WHATS_HAPPENED_!.txt"
"Ransomhouse","How To Restore Your Files.txt","https://www.ransomware.live/ransomnote/ransomhouse/How%20To%20Restore%20Your%20Files.txt"
"Ransomhub","readme_[id].txt","https://www.ransomware.live/ransomnote/ransomhub/readme_%5Bid%5D.txt"
"Ranzy","ranzy.txt","https://www.ransomware.live/ransomnote/ranzy/ranzy.txt"
"Raworld","Data breach warning.txt","https://www.ransomware.live/ransomnote/raworld/Data%20breach%20warning.txt"
"Redalert","redalert.txt","https://www.ransomware.live/ransomnote/redalert/redalert.txt"
